Date,Time,Theater,Film,Runtime,isAlmostSoldOut,posterDynamic,Letterboxd_Link
04/27/2025,2:00PM,The Beacon,THE SEVENTH VICTIM,71,,,https://letterboxd.com/film/the-seventh-victim/
04/28/2025,4:30PM,The Beacon,THE SEVENTH VICTIM,71,,,https://letterboxd.com/film/the-seventh-victim/
05/01/2025,7:30PM,The Beacon,ENO,approximately 80,,,https://letterboxd.com/film/eno/
05/02/2025,7:00PM,The Beacon,LEILA AND THE WOLVES,90,,,https://letterboxd.com/film/leila-and-the-wolves/
05/04/2025,5:00PM,The Beacon,LEILA AND THE WOLVES,90,,,https://letterboxd.com/film/leila-and-the-wolves/
05/04/2025,2:00PM,The Beacon,THE WIZARD OF OZ,102,,,https://letterboxd.com/film/the-wizard-of-oz/
05/05/2025,4:30PM,The Beacon,THE WIZARD OF OZ,102,,,https://letterboxd.com/film/the-wizard-of-oz/
03/26/2025,7:30PM,The Beacon,FIVE MINUTES TO LIVE!,120ish,,,https://letterboxd.com/film/five-minutes-to-live/
04/13/2025,5:00PM,The Beacon,LOVE HOTEL,88,,,https://letterboxd.com/film/love-hotel/
04/14/2025,7:30PM,The Beacon,LOVE HOTEL,88,,,https://letterboxd.com/film/love-hotel/
04/15/2025,4:30PM,The Beacon,LOVE HOTEL,88,,,https://letterboxd.com/film/love-hotel/
04/04/2025,10:00PM,The Beacon,YOKAI MONSTERS: SPOOK WARFARE,79,,,https://letterboxd.com/film/yokai-monsters-spook-warfare/
04/05/2025,10:00PM,The Beacon,YOKAI MONSTERS: SPOOK WARFARE,79,,,https://letterboxd.com/film/yokai-monsters-spook-warfare/
04/11/2025,7:00PM,The Beacon,TWIN PEAKS: FIRE WALK WITH ME,134,,,https://letterboxd.com/film/twin-peaks-fire-walk-with-me/
04/12/2025,7:00PM,The Beacon,TWIN PEAKS: FIRE WALK WITH ME,134,,,https://letterboxd.com/film/twin-peaks-fire-walk-with-me/
04/16/2025,7:30PM,The Beacon,TWIN PEAKS: FIRE WALK WITH ME,134,,,https://letterboxd.com/film/twin-peaks-fire-walk-with-me/
04/17/2025,4:30PM,The Beacon,TWIN PEAKS: FIRE WALK WITH ME,134,,,https://letterboxd.com/film/twin-peaks-fire-walk-with-me/
04/06/2025,5:00PM,The Beacon,MON ONCLE,120,,,https://letterboxd.com/film/mon-oncle/
04/08/2025,4:30PM,The Beacon,MON ONCLE,120,,,https://letterboxd.com/film/mon-oncle/
04/06/2025,2:00PM,The Beacon,CARNIVAL OF SOULS,80,,,https://letterboxd.com/film/carnival-of-souls/
04/07/2025,4:30PM,The Beacon,CARNIVAL OF SOULS,80,,,https://letterboxd.com/film/carnival-of-souls/
04/04/2025,7:00PM,The Beacon,3 WOMEN,124,,,https://letterboxd.com/film/3-women/
04/09/2025,4:30PM,The Beacon,3 WOMEN,124,,,https://letterboxd.com/film/3-women/
04/10/2025,7:30PM,The Beacon,3 WOMEN,124,,,https://letterboxd.com/film/3-women/
04/22/2025,7:30PM,The Beacon,ORPHEUS,95,,,https://letterboxd.com/film/orpheus/
04/23/2025,4:30PM,The Beacon,ORPHEUS,95,,,https://letterboxd.com/film/orpheus/
04/24/2025,4:30PM,The Beacon,ORPHEUS,95,,,https://letterboxd.com/film/orpheus/
04/07/2025,7:30PM,The Beacon,THIS WOMAN,90,,,https://letterboxd.com/film/this-woman/
04/09/2025,7:30PM,The Beacon,THIS WOMAN,90,,,https://letterboxd.com/film/this-woman/
03/20/2025,7:30PM,The Beacon,DAVID LYNCH: A REMEMBRANCE BOTH WONDERFUL AND STRANGE,100,,,
03/23/2025,5:00PM,The Beacon,DAVID LYNCH: A REMEMBRANCE BOTH WONDERFUL AND STRANGE,100,,,
04/15/2025,7:30PM,The Beacon,HOUR OF THE WOLF,88,,,https://letterboxd.com/film/hour-of-the-wolf/
04/16/2025,4:30PM,The Beacon,HOUR OF THE WOLF,88,,,https://letterboxd.com/film/hour-of-the-wolf/
03/28/2025,7:00PM,The Beacon,A WOMAN IS A WOMAN,85,,,https://letterboxd.com/film/a-woman-is-a-woman/
03/29/2025,7:00PM,The Beacon,A WOMAN IS A WOMAN,85,,,https://letterboxd.com/film/a-woman-is-a-woman/
